protein,chain,group,group1
4C4T,A,Isomerase,0
3UWW,A,Isomerase,0
3KWM,A,Isomerase,0
4M8L,A,Isomerase,0
3ZI4,A,Isomerase,0
2WF8,A,Isomerase,0
4C4S,A,Isomerase,0
1Z4N,A,Isomerase,0
2WF7,A,Isomerase,0
4OHQ,A,Isomerase,0
1ZVT,A,Isomerase,0
3ENV,A,Isomerase,0
3ENQ,A,Isomerase,0
2WF6,A,Isomerase,0
3ENW,A,Isomerase,0
2WF5,A,Isomerase,0
5OK0,A,Isomerase,0
5OK1,A,Isomerase,0
5UJW,A,Isomerase,0
5O6R,A,Isomerase,0
3LNT,A,Isomerase,0
1XX4,A,Isomerase,0
2PNY,A,Isomerase,0
4U19,A,Isomerase,0
4HZ0,A,Isomerase,0
1YXY,A,Isomerase,0
4U18,A,Isomerase,0
4U1A,A,Isomerase,0
1Y0E,A,Isomerase,0
4GIB,A,Isomerase,0
2F6Q,A,Isomerase,0
1L7J,A,Isomerase,0
1SG4,A,Isomerase,0
1UJ5,A,Isomerase,0
1UJ4,A,Isomerase,0
1UJ6,A,Isomerase,0
3GP5,A,Isomerase,0
3MWX,A,Isomerase,0
1O03,A,Isomerase,0
1O08,A,Isomerase,0
3IXQ,A,Isomerase,0
1TJD,A,Isomerase,0
4BZF,A,Isomerase,0
1LK7,A,Isomerase,0
4BZE,A,Isomerase,0
4BZH,A,Isomerase,0
1LK5,A,Isomerase,0
1YGA,A,Isomerase,0
4BZG,A,Isomerase,0
1RII,A,Isomerase,0
3HHE,A,Isomerase,0
2K7N,A,Isomerase,0
1EEJ,A,Isomerase,0
4GMK,A,Isomerase,0
5ZKN,A,Isomerase,0
2WF9,A,Isomerase,0
5W6Y,A,Isomerase,0
3L7O,A,Isomerase,0
1G0T,A,Isomerase,0
6HJW,A,Isomerase,0
5OJZ,A,Isomerase,0
1MMU,A,Isomerase,0
3ZPH,A,Isomerase,0
4BND,A,Isomerase,0
1MN0,A,Isomerase,0
1NSU,A,Isomerase,0
1NSS,A,Isomerase,0
1MMY,A,Isomerase,0
1MMX,A,Isomerase,0
4C9T,A,Isomerase,0
3IMH,A,Isomerase,0
1NS7,A,Isomerase,0
4C9S,A,Isomerase,0
1MMZ,A,Isomerase,0
1NS4,A,Isomerase,0
1NSM,A,Isomerase,0
4D06,A,Isomerase,0
4D4F,A,Isomerase,0
1NSV,A,Isomerase,0
1NS8,A,Isomerase,0
1NSR,A,Isomerase,0
1L7K,A,Isomerase,0
1NSX,A,Isomerase,0
1NS2,A,Isomerase,0
1T3B,A,Isomerase,0
3FM9,A,Isomerase,0
1LVH,A,Isomerase,0
3Q58,A,Isomerase,0
3SR7,A,Isomerase,0
3CSM,A,Isomerase,0
2H8L,A,Isomerase,0
3S6D,A,Isomerase,0
1P0K,A,Isomerase,0
4PPU,A,Isomerase,0
1ZOL,A,Isomerase,0
4ZDE,A,Isomerase,0
1P0N,A,Isomerase,0
1HNU,A,Isomerase,0
1PJH,A,Isomerase,0
1HNO,A,Isomerase,0
1NS0,A,Isomerase,0
5ZJN,A,Isomerase,0
1VCG,A,Isomerase,0
1LUR,A,Isomerase,0
4ZDF,A,Isomerase,0
2Y6Z,A,Isomerase,0
4ZDD,A,Isomerase,0
3F9R,A,Isomerase,0
6CFS,A,Isomerase,0
4ZDC,A,Isomerase,0
1VCF,A,Isomerase,0
6CFU,A,Isomerase,0
2CSM,A,Isomerase,0
1NSZ,A,Isomerase,0
5ZJP,A,Isomerase,0
5CSM,A,Isomerase,0
1SO0,A,Isomerase,0
1K39,A,Isomerase,0
4N02,A,Isomerase,0
2WHE,A,Isomerase,0
1SNZ,A,Isomerase,0
4CSM,A,Isomerase,0
3IGS,A,Isomerase,0
6CFV,A,Isomerase,0
6CFR,A,Isomerase,0
2WFA,A,Isomerase,0
4PPV,A,Isomerase,0
2FUC,A,Isomerase,0
6CFT,A,Isomerase,0
4ZDB,A,Isomerase,0
4UTW,A,Isomerase,0
4UTU,A,Isomerase,0
3KTC,A,Isomerase,0
3EC3,A,Isomerase,0
2Q4R,A,Isomerase,0
4UTT,A,Isomerase,0
3IDV,A,Isomerase,0
1TZC,A,Isomerase,0
3MSY,A,Isomerase,0
3NAS,A,Isomerase,0
2AMY,A,Isomerase,0
1TZB,A,Isomerase,0
1X9H,A,Isomerase,0
1A41,A,Isomerase,0
1X9I,A,Isomerase,0
2I55,A,Isomerase,0
6H3P,A,Isomerase,0
2I54,A,Isomerase,0
4JU5,A,Isomerase,0
5OLW,A,Isomerase,0
3FBT,A,Isomerase,0
5ZJB,A,Isomerase,0
2ZAD,A,Isomerase,0
2MPH,A,Isomerase,0
1OIS,A,Isomerase,0
1WP5,A,Isomerase,0
2FUE,A,Isomerase,0
5YFV,A,Isomerase,0
4ML1,A,Isomerase,0
5YFU,A,Isomerase,0
5YGA,A,Isomerase,0
5YFT,A,Isomerase,0
5YG5,A,Isomerase,0
5YG8,A,Isomerase,0
5YG6,A,Isomerase,0
5YFW,A,Isomerase,0
5YG7,A,Isomerase,0
4ML6,A,Isomerase,0
5YFS,A,Isomerase,0
5YFJ,A,Isomerase,0
5YG9,A,Isomerase,0
5YFX,A,Isomerase,0
5UE7,A,Isomerase,0
1CY9,A,Isomerase,0
4LAW,A,Isomerase,0
4LAY,A,Isomerase,0
1Q1C,A,Isomerase,0
2K18,A,Isomerase,0
4TW8,A,Isomerase,0
4LAX,A,Isomerase,0
3O5D,A,Isomerase,0
3PRD,A,Isomerase,0
4LAV,A,Isomerase,0
5CRW,A,Isomerase,0
3WT2,A,Isomerase,0
1GR0,A,Isomerase,0
2ZKT,A,Isomerase,0
2EY4,A,Isomerase,0
2PV7,A,Isomerase,0
2APO,A,Isomerase,0
2HVY,A,Isomerase,0
3WT1,A,Isomerase,0
4G9B,A,Isomerase,0
3HJY,A,Isomerase,0
3HAY,A,Isomerase,0
3LWO,A,Isomerase,0
2AB4,A,Isomerase,0
3ED3,A,Isomerase,0
3HJW,A,Isomerase,0
3LWR,A,Isomerase,0
3LWP,A,Isomerase,0
3LWV,A,Isomerase,0
3PRB,A,Isomerase,0
3LWQ,A,Isomerase,0
3IGC,A,Isomerase,0
1CYY,A,Isomerase,0
3MQK,A,Isomerase,0
2AUS,A,Isomerase,0
3HAX,A,Isomerase,0
1Q6I,A,Isomerase,0
1Q6H,A,Isomerase,0
1Q6U,A,Isomerase,0
2RFK,A,Isomerase,0
1QZ2,A,Isomerase,0
1P5Q,A,Isomerase,0
1IIP,A,Isomerase,0
1RWI,A,Kinase,1
4X7Q,A,Kinase,1
4TL7,A,Kinase,1
5YZ8,A,Kinase,1
4TL8,A,Kinase,1
4TLA,A,Kinase,1
4TL6,A,Kinase,1
2IXN,A,Kinase,1
4TLD,A,Kinase,1
4TLC,A,Kinase,1
5DA3,A,Kinase,1
4BZN,A,Kinase,1
4TLB,A,Kinase,1
3BGQ,A,Kinase,1
1YHS,A,Kinase,1
2OBJ,A,Kinase,1
3MA3,A,Kinase,1
5O11,A,Kinase,1
1YI3,A,Kinase,1
6CZ3,A,Kinase,1
3BGZ,A,Kinase,1
5O12,A,Kinase,1
2XJ1,A,Kinase,1
4RC3,A,Kinase,1
4RC4,A,Kinase,1
4N6Z,A,Kinase,1
2BZI,B,Kinase,1
6CZ2,A,Kinase,1
4BZO,A,Kinase,1
4I41,A,Kinase,1
3QUP,A,Kinase,1
5O13,A,Kinase,1
6BLN,A,Kinase,1
4GT4,A,Kinase,1
6BKW,A,Kinase,1
2XJ2,A,Kinase,1
4XHK,B,Kinase,1
6BKH,A,Kinase,1
4PWN,A,Kinase,1
3BGP,A,Kinase,1
6AUB,A,Kinase,1
4RC2,A,Kinase,1
3OCS,A,Kinase,1
6BIK,A,Kinase,1
4ENX,A,Kinase,1
4OTF,A,Kinase,1
4RX5,A,Kinase,1
5DWR,A,Kinase,1
4IAA,A,Kinase,1
6BKE,A,Kinase,1
5N5L,A,Kinase,1
6AUA,A,Kinase,1
4ENY,A,Kinase,1
5XKA,A,Kinase,1
5N5M,A,Kinase,1
2XIZ,A,Kinase,1
3T9I,A,Kinase,1
4M66,A,Kinase,1
3UMW,A,Kinase,1
5VGO,A,Kinase,1
5KUP,A,Kinase,1
2XIY,A,Kinase,1
5M06,A,Kinase,1
4RBL,A,Kinase,1
1YI4,A,Kinase,1
5N51,A,Kinase,1
3CY3,A,Kinase,1
3VBT,A,Kinase,1
2IWI,A,Kinase,1
3UIX,A,Kinase,1
4XV9,A,Kinase,1
1RWL,A,Kinase,1
3VBW,A,Kinase,1
4MTA,A,Kinase,1
3UMX,A,Kinase,1
6MNY,A,Kinase,1
4TLE,A,Kinase,1
4MED,A,Kinase,1
3F2A,A,Kinase,1
3VBX,A,Kinase,1
5M08,A,Kinase,1
5VUC,B,Kinase,1
2BIK,B,Kinase,1
4NWM,A,Kinase,1
2XIX,A,Kinase,1
5VUB,B,Kinase,1
4M69,A,Kinase,1
5VUA,B,Kinase,1
3VBV,A,Kinase,1
3VBY,A,Kinase,1
5M07,A,Kinase,1
2C3I,B,Kinase,1
5ITA,A,Kinase,1
4ITH,A,Kinase,1
5IIS,A,Kinase,1
3VBQ,A,Kinase,1
4LMU,A,Kinase,1
5ZZ4,A,Kinase,1
5M09,A,Kinase,1
2IXP,A,Kinase,1
4N70,A,Kinase,1
4OT6,A,Kinase,1
3DCV,A,Kinase,1
4YHF,A,Kinase,1
5J87,A,Kinase,1
5KCX,A,Kinase,1
4N6Y,A,Kinase,1
5JRS,A,Kinase,1
5P9H,A,Kinase,1
4MF1,A,Kinase,1
5T18,A,Kinase,1
5V82,A,Kinase,1
5HI2,A,Kinase,1
4HCV,A,Kinase,1
4WT6,A,Kinase,1
4QMT,A,Kinase,1
5AR8,A,Kinase,1
1SNX,A,Kinase,1
1K2P,A,Kinase,1
6MT0,A,Kinase,1
3R01,A,Kinase,1
2IXO,A,Kinase,1
5H2U,A,Kinase,1
3R02,A,Kinase,1
4ALU,A,Kinase,1
6CZ4,A,Kinase,1
3D2K,A,Kinase,1
4LM5,A,Kinase,1
4XV1,A,Kinase,1
1YXX,A,Kinase,1
6NO9,A,Kinase,1
5TOE,A,Kinase,1
1SNU,A,Kinase,1
4WRS,A,Kinase,1
5N4Z,A,Kinase,1
4R5Y,A,Kinase,1
6C3E,A,Kinase,1
3R04,A,Kinase,1
1SM2,A,Kinase,1
3CKX,A,Kinase,1
5P9L,A,Kinase,1
5JRQ,A,Kinase,1
4HCT,A,Kinase,1
4TL9,A,Kinase,1
3MJ1,A,Kinase,1
4OTR,A,Kinase,1
4WSY,A,Kinase,1
4TY1,A,Kinase,1
3MJ2,A,Kinase,1
4L7S,A,Kinase,1
1YXV,A,Kinase,1
4PQN,A,Kinase,1
4LL5,A,Kinase,1
3V5J,A,Kinase,1
3D2I,A,Kinase,1
3CXW,A,Kinase,1
3CY2,A,Kinase,1
5IPJ,A,Kinase,1
4QMU,A,Kinase,1
4ALV,A,Kinase,1
5KZI,A,Kinase,1
3V8T,A,Kinase,1
4XH6,A,Kinase,1
5TEL,A,Kinase,1
4PDS,A,Kinase,1
4QMZ,A,Kinase,1
4OTQ,A,Kinase,1
4K1B,A,Kinase,1
5BPY,A,Kinase,1
5P9F,A,Kinase,1
4HCU,A,Kinase,1
4QML,A,Kinase,1
5N4U,A,Kinase,1
3V8W,A,Kinase,1
3JY0,A,Kinase,1
3V5L,A,Kinase,1
4OT5,A,Kinase,1
3GEN,A,Kinase,1
2J2I,B,Kinase,1
5HID,A,Kinase,1
4L01,A,Kinase,1
5CSX,A,Kinase,1
1XWS,A,Kinase,1
5V80,A,Kinase,1
4RFZ,A,Kinase,1
5DIA,A,Kinase,1
3A99,A,Kinase,1
2XRU,A,Kinase,1
3JXW,A,Kinase,1
3A7J,A,Kinase,1
4MBI,A,Kinase,1
3VC4,A,Kinase,1
4QNA,A,Kinase,1
4M0Z,A,Kinase,1
3WE8,A,Kinase,1
2W1D,A,Kinase,1
4RFY,A,Kinase,1
6DI9,A,Kinase,1
4MNE,G,Kinase,1
5DRB,A,Kinase,1
4RG0,A,Kinase,1
4M13,A,Kinase,1
3JYA,A,Kinase,1
3K5U,A,Kinase,1
4JX7,A,Kinase,1
3QGW,A,Kinase,1
4L00,A,Kinase,1
3R00,A,Kinase,1
4QMX,A,Kinase,1
4KIO,A,Kinase,1
2BZJ,A,Kinase,1
3A7I,A,Kinase,1
1OL7,A,Kinase,1
4M12,A,Kinase,1
5N4N,A,Kinase,1
3MIY,A,Kinase,1
4QO9,A,Kinase,1
4DTK,A,Kinase,1
4M15,A,Kinase,1
2W1G,A,Kinase,1
2DQ7,X,Kinase,1
3M11,A,Kinase,1
2BDJ,A,Kinase,1
4M14,A,Kinase,1
4QMS,A,Kinase,1
5P9G,A,Kinase,1
3FDN,A,Kinase,1
4K0Y,A,Kinase,1
5C1Q,B,Kinase,1
4QMW,A,Kinase,1
2J0I,A,Kinase,1
3QGY,A,Kinase,1
5C9C,A,Kinase,1
5DHJ,A,Kinase,1
2DWB,A,Kinase,1
5TEX,A,Kinase,1
5DGZ,A,Kinase,1
3R21,A,Kinase,1
2ZV8,A,Kinase,1
5N50,A,Kinase,1
6DI3,A,Kinase,1
2W1C,A,Kinase,1
5BMM,A,Kinase,1
5FD2,A,Kinase,1
6BSK,A,Kinase,1
2X6D,A,Kinase,1
4Q2A,A,Kinase,1
4QMY,A,Kinase,1
5EOL,A,Kinase,1
2X6E,A,Kinase,1
4YHT,A,Kinase,1
2ZV7,A,Kinase,1
5WNI,A,Kinase,1
2JAV,A,Kinase,1
4A7C,A,Kinase,1
3U4W,A,Kinase,1
5N4O,A,Kinase,1
3D15,A,Kinase,1
4GW8,A,Kinase,1
3ZHP,D,Kinase,1
5WNL,A,Kinase,1
4QMN,A,Kinase,1
6CN9,A,Kinase,1
5N4V,A,Kinase,1
5KGG,A,Kinase,1
6EP9,A,Kinase,1
4RZV,A,Kinase,1
3DJ7,A,Kinase,1
2ZV9,A,Kinase,1
5N4X,A,Kinase,1
3JPV,A,Kinase,1
4APP,A,Kinase,1
5VAM,A,Kinase,1
3DAJ,A,Kinase,1
2XNG,A,Kinase,1
5MZL,A,Kinase,1
5K9I,A,Kinase,1
5XY1,A,Kinase,1
2XNE,A,Kinase,1
4JVG,A,Kinase,1
2O64,A,Kinase,1
5N4R,A,Kinase,1
5WNJ,A,Kinase,1
4MNF,A,Kinase,1
6AYD,A,Kinase,1
5N52,A,Kinase,1
2W1E,A,Kinase,1
3UO5,A,Kinase,1
5NDT,A,Kinase,1
3H0Z,A,Kinase,1
5KGE,A,Kinase,1
3MYG,A,Kinase,1
6CAD,A,Kinase,1
2BZK,B,Kinase,1
5KGD,A,Kinase,1
4K18,A,Kinase,1
1XR1,A,Kinase,1
3A4O,X,Kinase,1
3D14,A,Kinase,1
5HIE,A,Kinase,1
4AGW,A,Kinase,1
3BWF,A,Kinase,1
4FK3,A,Kinase,1
4KS8,A,Kinase,1
2QI8,A,Kinase,1
3QF9,A,Kinase,1
5WNM,A,Kinase,1
3T9T,A,Kinase,1
5FBO,A,Kinase,1
3H0Y,A,Kinase,1
2BIL,B,Kinase,1
2BZH,B,Kinase,1
2W1F,A,Kinase,1
5KGI,A,Kinase,1
3NRM,A,Kinase,1
3R22,A,Kinase,1
4NEU,A,Kinase,1
5N4Y,A,Kinase,1
3MPM,A,Kinase,1
4W8E,A,Kinase,1
2J50,A,Kinase,1
4XV3,A,Kinase,1
2WQE,A,Kinase,1
5IMX,A,Kinase,1
2ZVA,A,Kinase,1
4L67,A,Kinase,1
4M0Y,A,Kinase,1
5CT7,A,Kinase,1
1YWV,A,Kinase,1
4PP9,A,Kinase,1
2NP8,A,Kinase,1
4E4X,A,Kinase,1
4FIJ,A,Kinase,1
4JDH,A,Kinase,1
5WNK,A,Kinase,1
1XQZ,A,Kinase,1
3U51,A,Kinase,1
1OL6,A,Kinase,1
4PDP,A,Kinase,1
2OI4,X,Kinase,1
4JX3,A,Kinase,1
5KZ0,A,Kinase,1
4C3F,A,Kinase,1
4XV2,A,Kinase,1
4ITI,A,Kinase,1
4PP7,A,Kinase,1
2Q0N,A,Kinase,1
3PIZ,A,Kinase,1
2X4Z,A,Kinase,1
2O3P,A,Kinase,1
2XJ0,A,Kinase,1
2QQ7,A,Kinase,1
3P86,A,Kinase,1
2XP2,A,Kinase,1
3COH,A,Kinase,1
6FD3,A,Kinase,1
2J4Z,A,Kinase,1
3P08,A,Kinase,1
3QBN,A,Kinase,1
5W5J,A,Kinase,1
2X81,A,Kinase,1
5XVF,A,Kinase,1
1YI6,A,Kinase,1
1YXT,A,Kinase,1
3PIY,A,Kinase,1
5D12,A,Kinase,1
3PJ1,A,Kinase,1
4G9R,A,Kinase,1
4XG8,A,Kinase,1
4RFM,A,Kinase,1
4I93,A,Kinase,1
2OG8,A,Kinase,1
3PJ2,A,Kinase,1
2XIK,A,Kinase,1
2WTK,F,Kinase,1
4CD0,A,Kinase,1
4JDK,A,Kinase,1
2YFX,A,Kinase,1
2G1T,A,Kinase,1
6C4D,A,Kinase,1
4F4P,A,Kinase,1
4Z55,A,Kinase,1
3P9J,A,Kinase,1
3PJ3,A,Kinase,1
4PWY,A,Kinase,1
4ANQ,A,Kinase,1
5KGK,A,Kinase,1
6B8U,A,Kinase,1
5J5S,A,Kinase,1
2BMC,A,Kinase,1
3EN5,A,Kinase,1
5CSW,A,Kinase,1
4RZW,A,Kinase,1
5JT2,A,Kinase,1
5AAC,A,Kinase,1
5N3F,A,Kinase,1
3CKW,A,Kinase,1
3COM,A,Kinase,1
4ANS,A,Kinase,1
4JDJ,A,Kinase,1
4LGH,A,Kinase,1
5SWH,A,Kinase,1
4JDI,A,Kinase,1
5VIB,A,Kinase,1
5W7T,A,Kinase,1
5VAL,A,Kinase,1
6FU5,A,Kinase,1
3POZ,A,Kinase,1
4FC0,A,Kinase,1
3EN6,A,Kinase,1
4MBL,A,Kinase,1
4U5J,A,Kinase,1
2O63,A,Kinase,1
3EN4,A,Kinase,1
4F1O,A,Kinase,1
5ZJ6,A,Kinase,1
2YJR,A,Kinase,1
4H58,A,Kinase,1
6CDT,A,Kinase,1
4F0F,A,Kinase,1
3G5D,A,Kinase,1
5VEF,A,Kinase,1
4YZN,A,Kinase,1
3EL7,A,Kinase,1
3QLF,A,Kinase,1
2YJS,A,Kinase,1
5M53,A,Kinase,1
4WO5,A,Kinase,1
3SVV,A,Kinase,1
4KS7,A,Kinase,1
4ANL,A,Kinase,1
5VEE,A,Kinase,1
4PX6,A,Kinase,1
4AS0,A,Kinase,1
4F1M,A,Kinase,1
1YXS,A,Kinase,1
2H34,A,Kinase,1
1XBA,A,Kinase,1
5SYS,A,Kinase,1
4I92,A,Kinase,1
3VF8,A,Kinase,1
3K54,A,Kinase,1
5NG2,A,Kinase,1
1U59,A,Kinase,1
3KXZ,A,Kinase,1
4KSQ,A,Kinase,1
5NG0,A,Kinase,1
5M57,A,Kinase,1
2O65,A,Kinase,1
3DQX,A,Kinase,1
5AR3,A,Kinase,1
2YHV,A,Kinase,1
4LGG,A,Kinase,1
5XYZ,A,Kinase,1
5XP5,A,Kinase,1
5AR2,A,Kinase,1
2CDZ,A,Kinase,1
5W5O,A,Kinase,1
2BDF,A,Kinase,1
5UPK,B,Kinase,1
3EFW,A,Kinase,1
5HX6,A,Kinase,1
3Q96,A,Kinase,1
3G6H,A,Kinase,1
4MXX,A,Kinase,1
2WTW,A,Kinase,1
4JOA,A,Kinase,1
3UQF,A,Kinase,1
5M51,A,Kinase,1
1YXU,A,Kinase,1
5VED,A,Kinase,1
5D11,A,Kinase,1
4WA9,A,Kinase,1
3LOK,A,Kinase,1
2OFU,A,Kinase,1
3C4E,A,Kinase,1
4MXY,A,Kinase,1
4MXZ,A,Kinase,1
5XP7,A,Kinase,1
5J79,A,Kinase,1
3ZTX,A,Kinase,1
3B2W,A,Kinase,1
1YOJ,A,Kinase,1
1XKK,A,Kinase,1
5XVG,A,Kinase,1
3Q4Z,A,Kinase,1
4DFL,A,Kinase,1
2WTV,A,Kinase,1
2VRX,A,Kinase,1
4O27,B,Kinase,1
4ZOG,A,Kinase,1
4ZY5,A,Kinase,1
3HMI,A,Kinase,1
4YBJ,A,Kinase,1
4TWP,A,Kinase,1
2HZ0,A,Kinase,1
5XVA,A,Kinase,1
6HMX,A,Kinase,1
2HK5,A,Kinase,1
3GGF,A,Kinase,1
4YZM,A,Kinase,1
4FGB,A,Kinase,1
2XKD,A,Kinase,1
3D7T,A,Kinase,1
3VF9,A,Kinase,1
2OF4,A,Kinase,1
4C8B,A,Kinase,1
3CS9,A,Kinase,1
5VT1,A,Kinase,1
3BYM,A,Kinase,1
1QPC,A,Kinase,1
4F0G,A,Kinase,1
4FNZ,A,Kinase,1
4MXO,A,Kinase,1
3AD6,A,Kinase,1
3D7U,A,Kinase,1
3AC4,A,Kinase,1
5I0B,A,Kinase,1
5TX5,A,Kinase,1
5T0P,A,Kinase,1
2WQO,A,Kinase,1
2HYY,A,Kinase,1
2XKC,A,Kinase,1
3OF0,A,Kinase,1
5YV9,A,Kinase,1
4O2P,A,Kinase,1
3QLG,A,Kinase,1
3AD5,A,Kinase,1
3LCK,A,Kinase,1
3ACK,A,Kinase,1
3BYO,A,Kinase,1
5AR4,A,Kinase,1
6B16,A,Kinase,1
3KMM,A,Kinase,1
3UE4,A,Kinase,1
3AD4,A,Kinase,1
2W4O,A,Kinase,1
3ACJ,A,Kinase,1
5KBQ,A,Kinase,1
3DK3,A,Kinase,1
3AC3,A,Kinase,1
3DK7,A,Kinase,1
2VGP,A,Kinase,1
2RGP,A,Kinase,1
2W5B,A,Kinase,1
4ZY6,A,Kinase,1
3LAU,A,Kinase,1
2W5H,A,Kinase,1
3AC1,A,Kinase,1
3PRI,A,Kinase,1
2OF2,A,Kinase,1
2ZM1,A,Kinase,1
5YV8,A,Kinase,1
2VGO,A,Kinase,1
3F3T,A,Kinase,1
3PIX,A,Kinase,1
3EL8,A,Kinase,1
4KSP,A,Kinase,1
3F3U,A,Kinase,1
2XK8,A,Kinase,1
3AC8,A,Kinase,1
3UQG,A,Kinase,1
6BL8,A,Kinase,1
5KBR,A,Kinase,1
5HU3,A,Kinase,1
2ZM4,A,Kinase,1
2V7A,A,Kinase,1
4HJO,A,Kinase,1
5YVB,A,Kinase,1
3AC2,A,Kinase,1
3DQW,A,Kinase,1
4O0T,A,Kinase,1
4ITJ,A,Kinase,1
2W5A,A,Kinase,1
3AC5,A,Kinase,1
4FNY,A,Kinase,1
6CCF,A,Kinase,1
4OW8,A,Kinase,1
2V5Q,A,Kinase,1
5IUG,A,Kinase,1
2XK6,A,Kinase,1
2ZYB,A,Kinase,1
4ZY4,A,Kinase,1
5NG3,A,Kinase,1
2XKF,A,Kinase,1
4P90,A,Kinase,1
1M52,A,Kinase,1
6FDY,U,Kinase,1
4DBN,A,Kinase,1
4XZ0,A,Kinase,1
4M7I,A,Kinase,1
6HHO,A,Kinase,1
2ZV2,A,Kinase,1
4YC8,A,Kinase,1
3DK6,A,Kinase,1
5DEY,A,Kinase,1
