protein,chain,group,group1
2DPP,A,alpha,0
2DT5,A,alpha,0
2X8D,A,alpha,0
2Z9O,A,alpha,0
2ZPI,A,alpha,0
3FTE,A,alpha,0
3LCK,A,alpha,0
3QYG,A,alpha,0
3R0J,A,alpha,0
3UKG,A,alpha,0
4FSQ,A,alpha,0
4GST,A,alpha,0
4HYI,A,alpha,0
1AR4,A,alpha,0
1BYG,A,alpha,0
1FIN,A,alpha,0
1IDS,A,alpha,0
1KON,A,alpha,0
1RNL,A,alpha,0
1WVY,A,alpha,0
1ZYS,A,alpha,0
2BGC,A,alpha,0
2BKK,A,alpha,0
2CZ6,A,alpha,0
2DQ7,X,alpha,0
2GST,A,alpha,0
2QDY,A,alpha,0
2XF0,A,alpha,0
2ZCF,A,alpha,0
2ZPB,A,alpha,0
2ZPE,A,alpha,0
2ZPF,A,alpha,0
3F92,A,alpha,0
3FFQ,A,alpha,0
3HHT,A,alpha,0
3KXD,A,alpha,0
3MJ1,A,alpha,0
3MN3,A,alpha,0
3QYH,A,alpha,0
6GSV,A,alpha,0
6GSX,A,alpha,0
1AR5,A,alpha,0
1B39,A,alpha,0
1BC9,A,alpha,0
1DEK,A,alpha,0
1DUB,A,alpha,0
1P5S,A,alpha,0
1QH9,A,alpha,0
1U00,A,alpha,0
2AEF,A,alpha,0
2CSN,A,alpha,0
2CYZ,A,alpha,0
2CZ1,A,alpha,0
2D0Q,A,alpha,0
2ONK,A,alpha,0
2QC9,A,alpha,0
2YDI,A,alpha,0
2ZPH,A,alpha,0
3A8G,A,alpha,0
3A8L,A,alpha,0
3A8M,A,alpha,0
3A8O,A,alpha,0
3D7T,A,alpha,0
3F9K,A,alpha,0
3H3U,A,alpha,0
3II6,A,alpha,0
3LIE,A,alpha,0
3OG7,A,alpha,0
6GSU,A,alpha,0
6GSY,A,alpha,0
1UWJ,A,alpha,0
1V29,A,alpha,0
2C3J,A,alpha,0
2FY8,A,alpha,0
2OQR,A,alpha,0
2QFI,A,alpha,0
2YDK,A,alpha,0
2YM8,A,alpha,0
3G9W,A,alpha,0
3P7N,A,alpha,0
3QZ9,A,alpha,0
3SWV,A,alpha,0
4FM4,A,alpha,0
1FHE,A,alpha,0
1GNE,A,alpha,0
1JKT,A,alpha,0
1O9H,A,alpha,0
2PHK,A,alpha,0
2R9A,A,alpha,0
2ZIO,A,alpha,0
2ZTC,A,alpha,0
3I59,A,alpha,0
3VQX,A,alpha,0
1B4P,A,alpha,0
1FBX,A,alpha,0
1IA8,A,alpha,0
1IQV,A,alpha,0
1NNL,A,alpha,0
1OMI,A,alpha,0
2CGX,A,alpha,0
2DFF,A,alpha,0
2F8Y,A,alpha,0
2PMT,A,alpha,0
2WQO,A,alpha,0
3EJ1,A,alpha,0
3OFS,A,alpha,0
6GST,A,alpha,0
6GSW,A,alpha,0
1BXL,A,alpha,0
1C7Y,A,alpha,0
1CPO,A,alpha,0
1DM2,A,alpha,0
1IG1,A,alpha,0
1JKK,A,alpha,0
1L7M,A,alpha,0
1L7N,A,alpha,0
1L7P,A,alpha,0
1N3R,A,alpha,0
2DUV,A,alpha,0
2XRO,A,alpha,0
3C4C,A,alpha,0
3D36,A,alpha,0
3F5U,A,alpha,0
3KL8,A,alpha,0
3LFN,A,alpha,0
4DU6,A,alpha,0
1A04,A,alpha,0
1BMO,A,alpha,0
1P2A,A,alpha,0
1P4F,A,alpha,0
2EIA,A,alpha,0
2FH9,A,alpha,0
2YY6,A,alpha,0
3BIN,A,alpha,0
3CTD,A,alpha,0
3DAE,A,alpha,0
3DV8,A,alpha,0
3DXN,A,alpha,0
3FTC,A,alpha,0
3GHH,A,alpha,0
3QGW,A,alpha,0
3ZXT,A,alpha,0
1CNS,A,alpha,0
1F5Q,A,alpha,0
1F5S,A,alpha,0
1J97,A,alpha,0
1MUO,A,alpha,0
1PHK,A,alpha,0
1Q43,A,alpha,0
1R78,A,alpha,0
1YOM,A,alpha,0
2G9X,A,alpha,0
2OFV,A,alpha,0
2W17,A,alpha,0
2X8I,A,alpha,0
3GC6,A,alpha,0
3OTF,A,alpha,0
3VF0,A,alpha,0
3ZWM,A,alpha,0
4A4X,A,alpha,0
1E6B,A,alpha,0
1GTU,A,alpha,0
1IKU,A,alpha,0
1O57,A,alpha,0
1OIQ,A,alpha,0
1OIT,A,alpha,0
1PXN,A,alpha,0
1Q5O,A,alpha,0
1UGQ,A,alpha,0
1UGS,A,alpha,0
1V1K,A,alpha,0
1Y91,A,alpha,0
2B55,A,alpha,0
2BE3,A,alpha,0
2BTR,A,alpha,0
2CGU,A,alpha,0
2HE7,A,alpha,0
2I6X,A,alpha,0
2QGU,A,alpha,0
2VTT,A,alpha,0
2WRT,A,alpha,0
3EOC,A,alpha,0
3IEF,A,alpha,0
3KY7,A,alpha,0
3LOK,A,alpha,0
3U11,A,alpha,0
3VQW,A,alpha,0
4IG6,A,alpha,0
14GS,A,alpha,0
1G3W,A,alpha,0
1GIH,A,alpha,0
1GSU,A,alpha,0
1JUD,A,alpha,0
1K6Y,A,alpha,0
1OKW,A,alpha,0
1PXK,A,alpha,0
1Q3E,A,alpha,0
1WB7,A,alpha,0
1WVW,A,alpha,0
1ZRM,A,alpha,0
2B52,A,alpha,0
2C5X,A,alpha,0
2E3C,A,alpha,0
2GTU,A,alpha,0
2J9M,A,alpha,0
2L22,A,alpha,0
2NP3,A,alpha,0
2Q7H,A,alpha,0
2VTQ,A,alpha,0
2X1N,A,alpha,0
2YEX,A,alpha,0
2Z2W,A,alpha,0
3DGK,A,alpha,0
3DTC,A,alpha,0
3EHA,A,alpha,0
3EL8,A,alpha,0
3HYH,A,alpha,0
3O51,A,alpha,0
3QGY,A,alpha,0
3QIJ,A,alpha,0
3SW7,A,alpha,0
3TIY,A,alpha,0
3U10,A,alpha,0
3V5J,A,alpha,0
3V8T,A,alpha,0
4AFE,A,alpha,0
4EQM,A,alpha,0
4HBN,A,alpha,0
1BAY,A,alpha,0
1FVV,A,alpha,0
1G5S,A,alpha,0
1GC6,A,alpha,0
1GIJ,A,alpha,0
1H00,A,alpha,0
1H07,A,alpha,0
1H0W,A,alpha,0
1IRE,A,alpha,0
1JKL,A,alpha,0
1MA1,A,alpha,0
1MMM,A,alpha,0
1PXP,A,alpha,0
1PYE,A,alpha,0
1R3B,A,alpha,0
1RGP,A,alpha,0
1UGP,A,alpha,0
1UGR,A,alpha,0
1V0O,A,alpha,0
1VEW,A,alpha,0
1ZRN,A,alpha,0
2C5O,A,alpha,0
2G2I,A,alpha,0
2IO6,A,alpha,0
2IOF,A,alpha,0
2P35,A,alpha,0
2Q7E,A,alpha,0
2Q7G,A,alpha,0
2QG5,A,alpha,0
2QQB,A,alpha,0
2R3L,A,alpha,0
2R3M,A,alpha,0
2R3N,A,alpha,0
2VTJ,A,alpha,0
2VTN,A,alpha,0
2VV9,A,alpha,0
2W05,A,alpha,0
2X6E,A,alpha,0
2XK6,A,alpha,0
2XK7,A,alpha,0
2XNE,A,alpha,0
2XNN,A,alpha,0
2XNP,A,alpha,0
2YER,A,alpha,0
2ZIM,A,alpha,0
2ZIN,A,alpha,0
3BBY,A,alpha,0
3EMG,A,alpha,0
3EZR,A,alpha,0
3EZV,A,alpha,0
3F5G,A,alpha,0
3KOU,A,alpha,0
3L9D,A,alpha,0
3P5S,A,alpha,0
3TI1,A,alpha,0
3UNJ,A,alpha,0
3VQY,A,alpha,0
4ACM,A,alpha,0
4F72,A,alpha,0
4GTU,A,alpha,0
4ITI,A,alpha,0
1AI4,A,alpha,0
1AI5,A,alpha,0
1AI6,A,alpha,0
1AI7,A,alpha,0
1AJN,A,alpha,0
1AJP,A,alpha,0
1AJQ,A,alpha,0
1AW9,A,alpha,0
1GG3,A,alpha,0
1I39,A,alpha,0
1K2P,A,alpha,0
1LFP,A,alpha,0
1NOM,A,alpha,0
1PBW,A,alpha,0
1PNK,A,alpha,0
1PNL,A,alpha,0
1PNM,A,alpha,0
1PXL,A,alpha,0
1QAQ,A,alpha,0
1RPL,A,alpha,0
1SM2,A,alpha,0
1SNU,A,alpha,0
1SNX,A,alpha,0
1U54,A,alpha,0
1URC,A,alpha,0
1WB8,A,alpha,0
1YOJ,A,alpha,0
1ZQU,A,alpha,0
1ZQV,A,alpha,0
1ZQW,A,alpha,0
1ZQX,A,alpha,0
1ZQY,A,alpha,0
1ZQZ,A,alpha,0
2AH6,A,alpha,0
2BHE,A,alpha,0
2BTS,A,alpha,0
2C5Y,A,alpha,0
2C6L,A,alpha,0
2HZ0,A,alpha,0
2PH7,A,alpha,0
2UZN,A,alpha,0
2W4J,A,alpha,0
2XK4,A,alpha,0
2Y4P,A,alpha,0
2ZCE,A,alpha,0
3BHU,A,alpha,0
3D2I,A,alpha,0
3GU7,A,alpha,0
3GU8,A,alpha,0
3KE4,A,alpha,0
3MYR,A,alpha,0
3QBN,A,alpha,0
3QTC,A,alpha,0
3TUC,A,alpha,0
4F71,A,alpha,0
1BX9,A,alpha,0
1D2N,A,alpha,0
1FWZ,A,alpha,0
1G3S,A,alpha,0
1GSD,A,alpha,0
1H31,A,alpha,0
1ISG,A,alpha,0
1OED,A,alpha,0
1P7G,A,alpha,0
1PF8,A,alpha,0
1R2G,A,alpha,0
1SSM,A,alpha,0
1U88,A,alpha,0
1ZBP,A,alpha,0
2A0C,X,alpha,0
2B53,A,alpha,0
2BEC,A,alpha,0
2BHH,A,alpha,0
2C5N,A,alpha,0
2C5V,A,alpha,0
2CZ3,A,alpha,0
2HE0,A,alpha,0
2NYV,A,alpha,0
2OG8,A,alpha,0
2QQ7,A,alpha,0
2R3J,A,alpha,0
2R3K,A,alpha,0
2R40,A,alpha,0
2UUE,A,alpha,0
2WEV,A,alpha,0
2XK3,A,alpha,0
2XK8,A,alpha,0
2ZV9,A,alpha,0
3DFC,B,alpha,0
3EH9,A,alpha,0
3EID,A,alpha,0
3ETQ,A,alpha,0
3F6Y,A,alpha,0
3FTD,A,alpha,0
3LFS,A,alpha,0
3VF9,A,alpha,0
3VQV,A,alpha,0
4B0G,A,alpha,0
4DFD,A,alpha,0
4ECC,A,alpha,0
1G3T,A,alpha,0
1GUK,A,alpha,0
1P4A,A,alpha,0
1Q0S,A,alpha,0
1QAO,A,alpha,0
1R1K,A,alpha,0
1R2D,A,alpha,0
1R2H,A,alpha,0
1S80,A,alpha,0
1SST,A,alpha,0
1URW,A,alpha,0
1VYZ,A,alpha,0
1YYH,A,alpha,0
1ZN2,A,alpha,0
2BPC,A,alpha,0
2CCI,A,alpha,0
2DC5,A,alpha,0
2FB8,A,alpha,0
2FXA,A,alpha,0
2GSQ,A,alpha,0
2HDO,A,alpha,0
2NT8,A,alpha,0
2OZ1,A,alpha,0
2Q0A,A,alpha,0
2QLQ,A,alpha,0
2QQA,A,alpha,0
2UZB,A,alpha,0
2WS2,A,alpha,0
2WUI,A,alpha,0
2X6D,A,alpha,0
2XKE,A,alpha,0
2XNB,A,alpha,0
2XRU,A,alpha,0
2YZA,A,alpha,0
3BIZ,A,alpha,0
3EN6,A,alpha,0
3ET7,A,alpha,0
3EVK,A,alpha,0
3GTU,A,alpha,0
3KE5,A,alpha,0
3QLF,A,alpha,0
4ECB,A,alpha,0
1AF7,A,alpha,0
1E9H,A,alpha,0
1GTI,A,alpha,0
1IK9,A,alpha,0
1ISJ,A,alpha,0
1JSV,A,alpha,0
1JVP,P,alpha,0
1M99,A,alpha,0
1M9A,A,alpha,0
1M9B,A,alpha,0
1OKV,A,alpha,0
1R2E,A,alpha,0
1R2I,A,alpha,0
1UAJ,A,alpha,0
1UNL,A,alpha,0
1ZWS,A,alpha,0
2A5Y,A,alpha,0
2ABK,A,alpha,0
2B0C,A,alpha,0
2B4S,A,alpha,0
2BDJ,A,alpha,0
2C6D,A,alpha,0
2F6S,A,alpha,0
2GDR,A,alpha,0
2HCF,A,alpha,0
2HWO,A,alpha,0
2I65,A,alpha,0
2PER,A,alpha,0
2PGL,A,alpha,0
2UZE,A,alpha,0
2V28,A,alpha,0
2VU3,A,alpha,0
2WQE,A,alpha,0
2YAK,A,alpha,0
2ZV8,A,alpha,0
3AC3,A,alpha,0
3AD6,A,alpha,0
3DQX,A,alpha,0
3GH3,A,alpha,0
3GU5,A,alpha,0
3IAO,A,alpha,0
3O0G,A,alpha,0
3OF0,A,alpha,0
3Q2Y,A,alpha,0
3S2P,A,alpha,0
3U0Z,A,alpha,0
3V8W,A,alpha,0
3VF8,A,alpha,0
3VW6,A,alpha,0
4DFN,A,alpha,0
4G1Z,A,alpha,0
1EF1,A,alpha,0
1EH4,A,alpha,0
1EIA,A,alpha,0
1GC7,A,alpha,0
1GSY,A,alpha,0
1ISF,A,alpha,0
1JKS,A,alpha,0
1OL7,A,alpha,0
1PXI,A,alpha,0
1PXM,A,alpha,0
1QL6,A,alpha,0
1SSQ,A,alpha,0
1WVX,A,alpha,0
1X8B,A,alpha,0
2AH5,A,alpha,0
2C6T,A,alpha,0
2CJL,A,alpha,0
2CJM,A,alpha,0
2CLQ,A,alpha,0
2IN6,A,alpha,0
2JGZ,A,alpha,0
2O3U,A,alpha,0
2PX9,A,alpha,0
2QLT,A,alpha,0
2R3G,A,alpha,0
2R3Q,A,alpha,0
2R4V,A,alpha,0
2R64,A,alpha,0
2VTA,A,alpha,0
2VTH,A,alpha,0
2VTP,A,alpha,0
2W1E,A,alpha,0
2W1H,A,alpha,0
2WHB,A,alpha,0
2XGE,A,alpha,0
2XNO,A,alpha,0
3AC1,A,alpha,0
3AD4,A,alpha,0
3BYU,A,alpha,0
3D15,A,alpha,0
3D6J,A,alpha,0
3DOG,A,alpha,0
3DZJ,A,alpha,0
3F2A,A,alpha,0
3F5X,A,alpha,0
3GU4,A,alpha,0
3GU6,A,alpha,0
3GUB,A,alpha,0
3LFQ,A,alpha,0
3MC4,A,alpha,0
3P08,A,alpha,0
3Q96,A,alpha,0
3R22,A,alpha,0
3TIZ,A,alpha,0
3U4H,A,alpha,0
3UOH,A,alpha,0
3ZWW,A,alpha,0
4BCK,A,alpha,0
4BCN,A,alpha,0
4DEB,A,alpha,0
4FFK,A,alpha,0
4FK3,A,alpha,0
1AQV,A,alpha,0
1DI8,A,alpha,0
1FX7,A,alpha,0
1H08,A,alpha,0
1ISI,A,alpha,0
1KE5,A,alpha,0
1KE6,A,alpha,0
1KE7,A,alpha,0
1KE8,A,alpha,0
1NI2,A,alpha,0
1O6Y,A,alpha,0
1O9G,A,alpha,0
1OL1,A,alpha,0
1P92,A,alpha,0
1PW2,A,alpha,0
1PXJ,A,alpha,0
1QPJ,A,alpha,0
1UWH,A,alpha,0
1WCC,A,alpha,0
1XKT,A,alpha,0
1XQZ,A,alpha,0
1XR1,A,alpha,0
1YXS,A,alpha,0
1YXU,A,alpha,0
2AB6,A,alpha,0
2B54,A,alpha,0
2C6I,A,alpha,0
2D2Z,A,alpha,0
2DS1,A,alpha,0
2EXM,A,alpha,0
2G7U,A,alpha,0
2GAU,A,alpha,0
2HWP,A,alpha,0
2O64,A,alpha,0
2PHG,A,alpha,0
2PVQ,A,alpha,0
2QM4,A,alpha,0
2UZL,A,alpha,0
2V0D,A,alpha,0
2V22,A,alpha,0
2VTI,A,alpha,0
2VTO,A,alpha,0
2VTR,A,alpha,0
2VTS,A,alpha,0
2W06,A,alpha,0
2XKC,A,alpha,0
2XMY,A,alpha,0
2ZM1,A,alpha,0
2ZVA,A,alpha,0
2ZYB,A,alpha,0
3AC4,A,alpha,0
3ACJ,A,alpha,0
3AD5,A,alpha,0
3AQV,A,alpha,0
3B89,A,alpha,0
3BHT,A,alpha,0
3BHV,A,alpha,0
3BYS,A,alpha,0
3CNH,A,alpha,0
3CRU,A,alpha,0
3DDQ,A,alpha,0
3FDN,A,alpha,0
3GEQ,A,alpha,0
3GLX,A,alpha,0
3HRA,A,alpha,0
3IGG,A,alpha,0
3IS5,A,alpha,0
3LID,A,alpha,0
3Q1M,A,alpha,0
3R2Q,A,alpha,0
3SC3,A,alpha,0
3TUD,A,alpha,0
3UNK,A,alpha,0
3UNZ,A,alpha,0
3UO5,A,alpha,0
3UP7,A,alpha,0
3VAP,A,alpha,0
4DBN,A,alpha,0
4DEA,A,alpha,0
4E1Z,A,alpha,0
4GCI,A,alpha,0
4ITH,A,alpha,0
1BC5,A,alpha,0
1E1V,A,alpha,0
1FVT,A,alpha,0
1GN3,A,alpha,0
1GSQ,A,alpha,0
1GZ8,A,alpha,0
1H0V,A,alpha,0
1K3O,A,alpha,0
1N2A,A,alpha,0
1OIR,A,alpha,0
1OL2,A,alpha,0
1OL6,A,alpha,0
1P5E,A,alpha,0
1PKD,A,alpha,0
1QAM,A,alpha,0
1QAN,A,alpha,0
1QPC,A,alpha,0
1UAL,A,alpha,0
1UNH,A,alpha,0
1W8C,A,alpha,0
1Y6E,A,alpha,0
1Y8Y,A,alpha,0
1YV1,A,alpha,0
1YZ6,A,alpha,0
2BHN,A,alpha,0
2C68,A,alpha,0
2C69,A,alpha,0
2C6K,A,alpha,0
2C6M,A,alpha,0
2C6O,A,alpha,0
2DFH,A,alpha,0
2DSA,A,alpha,0
2DWB,A,alpha,0
2FHE,A,alpha,0
2FUM,A,alpha,0
2IJM,A,alpha,0
2NTO,A,alpha,0
2O65,A,alpha,0
2OFU,A,alpha,0
2OIQ,A,alpha,0
2QI8,A,alpha,0
2R3F,A,alpha,0
2R3H,A,alpha,0
2R3I,A,alpha,0
2R3O,A,alpha,0
2R3P,A,alpha,0
2R3R,A,alpha,0
2VTL,A,alpha,0
2VTM,A,alpha,0
2WFY,A,alpha,0
2X81,A,alpha,0
2XS6,A,alpha,0
2ZM4,A,alpha,0
3AC2,A,alpha,0
3AC5,A,alpha,0
3AC8,A,alpha,0
3ACK,A,alpha,0
3AXZ,A,alpha,0
3BI6,A,alpha,0
3CR0,A,alpha,0
3CRT,A,alpha,0
3D2K,A,alpha,0
3EFW,A,alpha,0
3EQP,A,alpha,0
3EW3,A,alpha,0
3G6H,A,alpha,0
3IDP,A,alpha,0
3K5U,A,alpha,0
3KK9,A,alpha,0
3LAU,A,alpha,0
3LE6,A,alpha,0
3MPM,A,alpha,0
3MY5,A,alpha,0
3QLG,A,alpha,0
3R21,A,alpha,0
3SW4,A,alpha,0
3SXS,A,alpha,0
3UP2,A,alpha,0
4E4E,A,alpha,0
4EC0,A,alpha,0
4EOL,A,alpha,0
4GFQ,A,alpha,0
4I3Z,A,alpha,0
4II5,A,alpha,0
7GSS,A,alpha,0
1GII,A,alpha,0
1GNW,A,alpha,0
1H01,A,alpha,0
1JR9,A,alpha,0
1KE9,A,alpha,0
1LA3,A,alpha,0
1OKT,A,alpha,0
1UA5,A,alpha,0
1UAK,A,alpha,0
1UAM,A,alpha,0
1UNG,A,alpha,0
1UVR,A,alpha,0
1YUX,A,alpha,0
1YUZ,A,alpha,0
2BBZ,A,alpha,0
2BDF,A,alpha,0
2BGW,A,alpha,0
2BKN,A,alpha,0
2BKP,A,alpha,0
2C6E,A,alpha,0
2CLX,A,alpha,0
2HJN,A,alpha,0
2IN3,A,alpha,0
2J50,A,alpha,0
2RKU,A,alpha,0
2W1C,A,alpha,0
2W1G,A,alpha,0
2WTV,A,alpha,0
2XKD,A,alpha,0
2XNG,A,alpha,0
2ZV7,A,alpha,0
3BYM,A,alpha,0
3BYO,A,alpha,0
3D0Z,A,alpha,0
3EL7,A,alpha,0
3EN5,A,alpha,0
3EQR,A,alpha,0
3FQS,A,alpha,0
3GBG,A,alpha,0
3GUR,A,alpha,0
3HBD,A,alpha,0
3HBH,A,alpha,0
3HPH,A,alpha,0
3IG7,A,alpha,0
3IV6,A,alpha,0
3KK8,A,alpha,0
3LYK,A,alpha,0
3P9J,A,alpha,0
3PXK,A,alpha,0
3Q5S,A,alpha,0
3SRV,A,alpha,0
3SXR,A,alpha,0
3TUB,A,alpha,0
3UMB,A,alpha,0
3UO4,A,alpha,0
3UOJ,A,alpha,0
3V5L,A,alpha,0
4DED,A,alpha,0
4DHF,A,alpha,0
4H58,A,alpha,0
5GST,A,alpha,0
16GS,A,alpha,0
17GS,A,alpha,0
1E1X,A,alpha,0
1G3Y,A,alpha,0
1GN4,A,alpha,0
1H0M,A,alpha,0
1IO2,A,alpha,0
1NSF,A,alpha,0
1P9P,A,alpha,0
1QPD,A,alpha,0
1U59,A,alpha,0
1W0X,C,alpha,0
1W98,A,alpha,0
1XBB,A,alpha,0
1XW6,A,alpha,0
1XWK,A,alpha,0
1YIO,A,alpha,0
1YJ6,A,alpha,0
1YQ1,A,alpha,0
1YQW,A,alpha,0
1YWV,A,alpha,0
1YXT,A,alpha,0
1YXV,A,alpha,0
1YXX,A,alpha,0
1ZVM,A,alpha,0
2BFY,A,alpha,0
2BKO,A,alpha,0
2BVA,A,alpha,0
2CAI,A,alpha,0
2CCH,A,alpha,0
2D8N,A,alpha,0
2DBT,A,alpha,0
2EHB,A,alpha,0
2HK5,A,alpha,0
2HZN,A,alpha,0
2O3P,A,alpha,0
2O63,A,alpha,0
2P62,A,alpha,0
2PGT,A,alpha,0
2R65,A,alpha,0
3AK2,A,alpha,0
3AK3,A,alpha,0
3BQR,A,alpha,0
3C4E,A,alpha,0
3CUS,A,alpha,0
3D71,A,alpha,0
3DZH,A,alpha,0
3FQH,A,alpha,0
3FZ1,A,alpha,0
3H0Y,A,alpha,0
3H0Z,A,alpha,0
3HBE,X,alpha,0
3I9N,A,alpha,0
3JXW,A,alpha,0
3JY0,A,alpha,0
3JYA,A,alpha,0
3K54,A,alpha,0
3NS9,A,alpha,0
3QHR,A,alpha,0
3QU4,A,alpha,0
3R00,A,alpha,0
3R01,A,alpha,0
3R02,A,alpha,0
3R04,A,alpha,0
3TNW,A,alpha,0
3TZ9,A,alpha,0
3UIX,A,alpha,0
3UMW,A,alpha,0
3UMX,A,alpha,0
3VBT,A,alpha,0
3VBV,A,alpha,0
3VBW,A,alpha,0
3VBY,A,alpha,0
3ZWO,A,alpha,0
4AF3,A,alpha,0
4AGW,A,alpha,0
4AS0,A,alpha,0
4ENX,A,alpha,0
4ENY,A,alpha,0
4EON,A,alpha,0
4FYO,A,alpha,0
4GLT,A,alpha,0
8GSS,A,alpha,0
19GS,A,alpha,0
1BPB,A,alpha,0
1EKE,A,alpha,0
1I3A,A,alpha,0
1T3D,A,alpha,0
1TE2,A,alpha,0
1XBA,A,alpha,0
1XBC,A,alpha,0
1ZYM,A,alpha,0
20GS,A,alpha,0
22GS,A,alpha,0
2C1D,A,alpha,0
2C2J,A,alpha,0
2C4J,A,alpha,0
2C6R,A,alpha,0
2DUB,A,alpha,0
2GQG,A,alpha,0
2HIW,A,alpha,0
2HZ4,A,alpha,0
2OF4,A,alpha,0
2VGO,A,alpha,0
2XKF,A,alpha,0
2XYN,A,alpha,0
3CUR,A,alpha,0
3D6Y,A,alpha,0
3EZA,A,alpha,0
3HA6,A,alpha,0
3I9J,A,alpha,0
3I9O,A,alpha,0
3KMM,A,alpha,0
3NAS,A,alpha,0
3NRM,A,alpha,0
3PJ8,A,alpha,0
3Q5R,A,alpha,0
3ROM,A,alpha,0
3UAP,A,alpha,0
3VBQ,A,alpha,0
3VC4,A,alpha,0
3ZTX,A,alpha,0
3ZWX,A,alpha,0
3ZWY,A,alpha,0
4BBE,A,alpha,0
